trade_name,concentration,company,pharmaceutical_form,display_name
ALUCAL PLUS,0comb,Amriya for Pharmaceutical Industries,Chewable Tablets,ALUCAL PLUS 0comb
MOBITIL 15 mg,15mg,Medical Union Pharmaceuticals - MUP,Film Coated Tablets,MOBITIL 15 mg 15mg
MOBITIL 7.5 mg,7.5mg,Medical Union Pharmaceuticals - MUP,Film Coated Tablets,MOBITIL 7.5 mg 7.5mg
Sominaletta,0.36gm/120ml,Alexandria Co. For Pharmaceuticals and Chemical Industries,Elixir,Sominaletta 0.36gm/120ml
CLOPRESS 0.1mg tab.(Cancelled),0.1mg,Amoun Pharmaceutical Company,Coated Tablet,CLOPRESS 0.1mg tab.(Cancelled) 0.1mg
CLOPRESS,0.15mg,Amoun Pharmaceutical Company,Film Coated Tablets,CLOPRESS 0.15mg
CLOPRESS,0.2mg,Amoun Pharmaceutical Company,Film Coated Tablets,CLOPRESS 0.2mg
Laxolac,3.35gm/5ml,Medical Union Pharmaceuticals - MUP,Syrup,Laxolac 3.35gm/5ml
Mobitil®,15mg,Medical Union Pharmaceuticals - MUP,Rectal Suppositories,Mobitil® 15mg
AQUA-GRIPE syrup(CANCELLED),0comb,THE ARAB DRUG COMPANY FOR PHARMACEUTICALS AND CHEMICAL INDUSTRIES,Oral Syrup,AQUA-GRIPE syrup(CANCELLED) 0comb
LANOXIN,0.05mg/ml,phoenix Marketing Group.,Elixir,LANOXIN 0.05mg/ml
SUDOPHINE,10mg/5ml,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Oral Syrup,SUDOPHINE 10mg/5ml
CALAMIDINE,0comb,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Topical Lotion,CALAMIDINE 0comb
VITAFERROL,0comb,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Soft Gelatin Capsule,VITAFERROL 0comb
Prostride,5mg,Adwia,Hard Gelatin Capsules,Prostride 5mg
Anticox II,15mg/3ml,Adwia,Solution for Deep I.M Injection,Anticox II 15mg/3ml
ADWIFLAM,75mg/3ml,Adwia,Solution for I.M Injection,ADWIFLAM 75mg/3ml
OSTEONATE,10mg,Adwia,Tablets,OSTEONATE 10mg
LOVASTAN 20mg tab.(CANCELLED),20mg,MEMPHIS for pharmaceuticals and chemical industries,Tablets,LOVASTAN 20mg tab.(CANCELLED) 20mg
RIBAVARIN 400mg,400mg,MEMPHIS for pharmaceuticals and chemical industries,Hard Gelatin Capsules,RIBAVARIN 400mg 400mg
RIBAVARIN  200mg,200mg,MEMPHIS for pharmaceuticals and chemical industries,Hard Gelatin Capsules,RIBAVARIN  200mg 200mg
VENTAMOL 4 mg SR caps.(CANCELLED),4mg,Glaxo smithkline,Sustained Release Capsule,VENTAMOL 4 mg SR caps.(CANCELLED) 4mg
Uripan 5mg,5mg,Adwia,Tablets,Uripan 5mg 5mg
Cipro 0.3%,3mg/ml,Chemical Industries Development (CID),Otic solution,Cipro 0.3% 3mg/ml
Epilat®,10mg,Egyptian International Pharmaceutical Industries Company (EIPICO),Soft Gelatin Capsule,Epilat® 10mg
Gastrofait® 1g,1gm,Egyptian International Pharmaceutical Industries Company (EIPICO),Tablets,Gastrofait® 1g 1gm
Indomethacin 25 mg,25mg,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Soft Gelatin Capsule,Indomethacin 25 mg 25mg
Indomethacin 50 mg,50mg,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Soft Gelatin Capsule,Indomethacin 50 mg 50mg
Vitamin E 100 I.U.,100I.U.,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Soft Gelatin Capsule,Vitamin E 100 I.U. 100I.U.
STREPTOPHENICOL caps.,0comb,Misr company for Pharmaceuticals,Capsule,STREPTOPHENICOL caps. 0comb
DENTASEPT,1%,Adwia,Mouth Wash,DENTASEPT 1%
ISOPAMIL,240mg,Adwia,Sustained Release Capsule,ISOPAMIL 240mg
RASIN,25mg,Adwia,Tablets,RASIN 25mg
DENTASEPT,1%,Adwia,Topical Gel,DENTASEPT 1%
FLOROSIN,20mg,Upper Egypt pharmaceuticals - UP Pharma,Hard Gelatin Capsules,FLOROSIN 20mg
DEXONIUM,1mg/ml,Alexandria Co. For Pharmaceuticals and Chemical Industries,Eye / Ear Drops,DEXONIUM 1mg/ml
TOPLEXIL,0comb,European egyptian pharmaceutical industries,Oral Syrup,TOPLEXIL 0comb
Durogesic  100mcg/hr,100mcg/hr,Janssen pharmaceutica NV,Transdermal Patch,Durogesic  100mcg/hr 100mcg/hr
Durogesic 75mcg/hr,12.6mg,Janssen pharmaceutica NV,Transdermal Patch,Durogesic 75mcg/hr 12.6mg
Durogesic 50mcg/hr,50mcg/hr,Janssen pharmaceutica NV,Transdermal Patch,Durogesic 50mcg/hr 50mcg/hr
Durogesic 25mcg/hr.,4.2mg,Janssen pharmaceutica NV,Transdermal Patch,Durogesic 25mcg/hr. 4.2mg
CYCLOKAPRON,500mg,Viatris Egypt,Tablets,CYCLOKAPRON 500mg
FARMORUBICIN RD,10mg,Inco Pharma Egypt,Freeze Dried Powder,FARMORUBICIN RD 10mg
Thrombophob 60000 I.U/100gm,60000I.U./100gm,Alexandria Co. For Pharmaceuticals and Chemical Industries,Topical Gel,Thrombophob 60000 I.U/100gm 60000I.U./100gm
Erypoietin  2000 I.U /vial,2000I.U.,Amoun Pharmaceutical Company,Lyophilized Powder,Erypoietin  2000 I.U /vial 2000I.U.
ERYPOIETIN 4000 I.U./vial (Cancelled),4000I.U.,Amoun Pharmaceutical Company,Solution for Injection/Infusion,ERYPOIETIN 4000 I.U./vial (Cancelled) 4000I.U.
TOPZOL-V,400mg/20gm,Hikma pharma,Vaginal Cream,TOPZOL-V 400mg/20gm
FERSOL,20%,Egyptian International Pharmaceutical Industries Company (EIPICO),Oral Drops,FERSOL 20%
Tamoxifen 20 mg,20mg,Technopharma egypt,Tablets,Tamoxifen 20 mg 20mg
HAES-STERIL 10% I.V.infusion,10%,FRESENIUS KABI-SCIENTIFIC OFFICE,Infusion,HAES-STERIL 10% I.V.infusion 10%
D.D.B 1.5mg pillules,1.5mg,15 MAY PHARMACEUTICAL (M.P.C)-EGYPT,Pillules,D.D.B 1.5mg pillules 1.5mg
ALBAPURE 20% I.V.infusion,20%,2s Pharma Group,Infusion,ALBAPURE 20% I.V.infusion 20%
CEBION CALCIUM 1gm eff.tab.(CANCELLED),0comb,El-Nile Company for Pharmaceuticals and Chemical Industries (El-Nile).,Effervescent Tablet,CEBION CALCIUM 1gm eff.tab.(CANCELLED) 0comb
EZADOXINE,0comb,Apex pharma,Tablets,EZADOXINE 0comb
Vitamin A&E,0comb,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Soft Gelatin Capsule,Vitamin A&E 0comb
Ferosac,100mg,Spimaco-Egypt,Solution for I.V injection \Infusion,Ferosac 100mg
NORMOBRAL 400 SR,400mg,TOP PHARM INCORPORATION,Sustained Release Film Coated Tablets,NORMOBRAL 400 SR 400mg
Roysan®,4mg,Amoun Pharmaceutical Company,Tablets,Roysan® 4mg
EMETREX,0comb,Amoun Pharmaceutical Company,Tablets,EMETREX 0comb
Ultrafen 200mg tab,200mg,SMITHKLINE BEECHAM-EGYPT,Tablets,Ultrafen 200mg tab 200mg
CEREBROGEN,1mg,Alexandria Co. For Pharmaceuticals and Chemical Industries,Tablets,CEREBROGEN 1mg
MINOPHYLLINE 10% amp.(CANCELLED),10gm/100ml,Alexandria Co. For Pharmaceuticals and Chemical Industries,Lyophilized Powder,MINOPHYLLINE 10% amp.(CANCELLED) 10gm/100ml
BRONCAL S.R,8mg,FUTURE PHARMACEUTICAL INDUSTRIES-EGYPT,Sustained Release Capsule,BRONCAL S.R 8mg
BRONCAL S.R,4mg,FUTURE PHARMACEUTICAL INDUSTRIES-EGYPT,Sustained Release Capsule,BRONCAL S.R 4mg
PELCARD SR,50mg,Global NAPI Pharmaceuticals - GNP,Capsule,PELCARD SR 50mg
PANOXYL,5%,Global NAPI Pharmaceuticals - GNP,Topical Gel,PANOXYL 5%
TRAMAL,100mg/2ml,Minapharm company for pharmaceuticals and chemical industries,"Solution For I.M., S.C. or Slow IV injection",TRAMAL 100mg/2ml
VIRU-MERZ SEROL,10mg/gm,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Topical Gel,VIRU-MERZ SEROL 10mg/gm
Carbamide,0.1gm/1gm,MEMPHIS for pharmaceuticals and chemical industries,Topical Cream,Carbamide 0.1gm/1gm
E-Mox ® 125 mg/ 5 ml,125mg/5ml,Egyptian International Pharmaceutical Industries Company (EIPICO),Powder for Oral Suspension,E-Mox ® 125 mg/ 5 ml 125mg/5ml
Epicocillin® 250 mg,250mg,Egyptian International Pharmaceutical Industries Company (EIPICO),Hard Gelatin Capsules,Epicocillin® 250 mg 250mg
Epicocillin 500 mg,500mg,Egyptian International Pharmaceutical Industries Company (EIPICO),Powder for solution for IM or IV injection or IV infusion,Epicocillin 500 mg 500mg
Flumox® 500,500mg,Egyptian International Pharmaceutical Industries Company (EIPICO),Hard Gelatin Capsules,Flumox® 500 500mg
Cetal ® 500 mg,500mg,Egyptian International Pharmaceutical Industries Company (EIPICO),Tablets,Cetal ® 500 mg 500mg
Clopam®,2mg,Egyptian International Pharmaceutical Industries Company (EIPICO),Tablets,Clopam® 2mg
Benzyl benzoate,20gm/100ml,pharaonia pharmaceuticals (pharo pharma),Topical Cream,Benzyl benzoate 20gm/100ml
ISOFLUORANE 100% inhalation solution,100%,"Al Mottahedoon for Pharmaceutical Industry, medical devices and cosmetics - U pharma",Inhalation Solution,ISOFLUORANE 100% inhalation solution 100%
Haemostop,250mg/2ml,Amoun Pharmaceutical Company,Solution For I.M or I.V. Injection,Haemostop 250mg/2ml
Balkis 0.1%,0.1%,Egyptian International Pharmaceutical Industries Company (EIPICO),Nasal Drops,Balkis 0.1% 0.1%
Balkis 0.05%,0.05%,Egyptian International Pharmaceutical Industries Company (EIPICO),Nasal Drops,Balkis 0.05% 0.05%
KITI,200mg,October Pharma,Sustained Release Capsule,KITI 200mg
OCTOTRAMADOL,100mg/2ml,October Pharma,Solution For I.M or I.V. Injection,OCTOTRAMADOL 100mg/2ml
Fanhdi 25 UI FVIII/30IU VWF per ml,0I.U.,Grifols Middle East and Africa,Powder and Solvent for Solution for injection,Fanhdi 25 UI FVIII/30IU VWF per ml 0I.U.
fanhdi 50 IU FVIII/60 IU VWF per ml,0comb,Grifols Middle East and Africa,Powder and Solvent for Solution for injection,fanhdi 50 IU FVIII/60 IU VWF per ml 0comb
Coditrip,600mg,El Eman Pharma,Soft Gelatin Capsule,Coditrip 600mg
Fusidic acid - Zad Industrial Pharma,2%,zad industrial pharma,Topical Cream,Fusidic acid - Zad Industrial Pharma 2%
Noplosant,0comb,Samanta Group,Topical Ointment,Noplosant 0comb
Vrabotriol,3mcg/gm,"Global Pharma for Manufacturing, Trade of Drugs and Commercial Agencies",Topical Ointment,Vrabotriol 3mcg/gm
Virapixir,200mg,elixir pharma,Film Coated Tablets,Virapixir 200mg
Tazacotir,1mg/gm,zad industrial pharma,Topical Cream,Tazacotir 1mg/gm
Jaspromin,750mg,Jasper Pharmaceutical Industries,Extended Release Tablet,Jaspromin 750mg
Advoctam,0comb,Advocure Bio Pharmaceuticals,Powder for solution for IM or IV injection or IV infusion,Advoctam 0comb
Iproglipro,50mg,Egyptian Group for Pharmaceutical Industries - EGPI,Film Coated Tablets,Iproglipro 50mg
Ceftriaxone - Gaphco pharm 1 gm,1gm,Gaphco Pharm,Powder for solution for I.V.  Injection or infusion,Ceftriaxone - Gaphco pharm 1 gm 1gm
Reflutinal 40mg,40mg,Perfect life pharmaceutical,Hard gelatin capsules containing enteric coated pellets,Reflutinal 40mg 40mg
Etoricoxib-Chemipharm 60 mg,0UnDefined,Chemipharm Pharmaceutical Industries,Film Coated Tablets,Etoricoxib-Chemipharm 60 mg 0UnDefined
Etoricoxib-Chemipharm 90 mg,0UnDefined,Chemipharm Pharmaceutical Industries,Film Coated Tablets,Etoricoxib-Chemipharm 90 mg 0UnDefined
Azipakin,500mg,High Performance Pharma - HP Pharma,Hard Gelatin Capsules,Azipakin 500mg
Arkadolow 500mg,0UnDefined,Utopia pharmaceuticals,Film Coated Tablets,Arkadolow 500mg 0UnDefined
Arkadolow 1000mg,1000mg,Utopia pharmaceuticals,Tablets,Arkadolow 1000mg 1000mg
Irinotecan Bendalis 100 mg / 5 ml,100mg/5ml,Pharmacon for Importation,Concentrate For Solution For I.V Infusion,Irinotecan Bendalis 100 mg / 5 ml 100mg/5ml
Irinotecan Bendalis 500 mg / 25 ml,500mg/25ml,Pharmacon for Importation,Concentrate For Solution For I.V Infusion,Irinotecan Bendalis 500 mg / 25 ml 500mg/25ml
Trelegy Ellipta 100 mcg,0UnDefined,GlaxoSmithKline,powder for oral inhalation,Trelegy Ellipta 100 mcg 0UnDefined
Ceftriaxone - Gaphco pharm 500 mg,500mg,Gaphco Pharm,Powder for solution for I.V.  Injection or infusion,Ceftriaxone - Gaphco pharm 500 mg 500mg
Swixphenicol,0.5gm/100ml,Chemipharm Pharmaceutical Industries,Ophthalmic Solution,Swixphenicol 0.5gm/100ml
Pirrandi,200mg,FUTURE PHARMACEUTICAL INDUSTRIES-EGYPT,Sustained Release Capsule,Pirrandi 200mg
Innopump,40mg,Egymed for Medical Services and Industries Egypt Medical,Freeze Dried Powder For Solution For I.V. Infusion,Innopump 40mg
Vastenormstate 10mg,10mg,Egyptian American Pharmaceutical Industries-egypt,Film Coated Tablets,Vastenormstate 10mg 10mg
Vastenormstate  20mg,20mg,Egyptian American Pharmaceutical Industries-egypt,Film Coated Tablets,Vastenormstate  20mg 20mg
Atcohydramol,0comb,ATCO Pharma for Pharmaceutical Industries,Film Coated Tablets,Atcohydramol 0comb
Atcocitrium,3gm,ATCO Pharma for Pharmaceutical Industries,Granular powder for oral solution in sachets,Atcocitrium 3gm
Renormactam 500 mg,500mg,Elixir pharma,Film Coated Tablets,Renormactam 500 mg 500mg
Aripiborg 10 mg,10mg,Borg Pharmaceutical Industries,Tablets,Aripiborg 10 mg 10mg
Awadist comp,0comb,High Performance Pharma - HP Pharma,Rectal Suppositories,Awadist comp 0comb
Doumega 60/100mg,0mg,Innova vitae pharma,Film Coated Tablets,Doumega 60/100mg 0mg
Doumega 30/50mg,0UnDefined,Innova vitae pharma,Film Coated Tablets,Doumega 30/50mg 0UnDefined
Idiclotide 290 mcg,290mcg,International drug agency for pharmaceutical industry (IDI),Coated beads in hard gelatin capsules,Idiclotide 290 mcg 290mcg
Exprofexir,800mg/8ml,elixir pharma,Solution for IV Infusion,Exprofexir 800mg/8ml
Liprimar 40mg,40mg,RIVA PHARMA,Film Coated Tablets,Liprimar 40mg 40mg
Myalcipran 50mg,50mg,Pharma-Tech,Film Coated Tablets,Myalcipran 50mg 50mg
Eutaxer 80 mg /8 ml,10mg/ml,HIKMA SPECIALIZED PHARMACEUTICALS,CONCENTRATE SOLUTION FOR INFUSION,Eutaxer 80 mg /8 ml 10mg/ml
Allerzone,0.1gm/100g,Egyptian Group for Pharmaceutical Industries - EGPI,Topical Cream,Allerzone 0.1gm/100g
TOBRABIOTIC,3mg/ml,SIGMA TEC PHARMACEUTICAL INDUSTRIES-EGYPT,Ophthalmic Solution,TOBRABIOTIC 3mg/ml
Dorzolamol,0comb,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Ophthalmic Solution,Dorzolamol 0comb
RIVASTATIN 20mg,20mg,RIVA PHARMA,Hard Gelatin Capsules,RIVASTATIN 20mg 20mg
SULBIN,375mg,"islamic company for pharmaceuticals,chemicals and medical appliances (pharco pharmaceuticals",Film Coated Tablets,SULBIN 375mg
MONOFURATA,0.1gm/100g,Dulex Lab,Topical Cream,MONOFURATA 0.1gm/100g
VINORELBIN EBEWE 50 mg/5ml vial for I.V. inf.,10mg/ml,Sandoz Egypt pharma,Concentrate For Solution For I.V Infusion,VINORELBIN EBEWE 50 mg/5ml vial for I.V. inf. 10mg/ml
Tiralepsy 100 mg/ml,100mg/ml,PROTECH PHARMACEUTICAL COMPANY,Oral Solution,Tiralepsy 100 mg/ml 100mg/ml
SARTACARD,40mg,PEACE WORLD MEDICAL INDUSTRY-EGYPT,Tablets,SARTACARD 40mg
ALENDOMAX PLUS,0comb,Aspin pharma ceutical,Tablets,ALENDOMAX PLUS 0comb
VOXAZOLDIN,600mg,Adwia,Film Coated Tablets,VOXAZOLDIN 600mg
Articavol,25mg/ml,Global Pharmaceutical Industries,Solution for I.M Injection/I.V Infusion,Articavol 25mg/ml
Alfaspect  500 mg,500mg,Innogen Pharma For Medical Products,Film Coated Tablets,Alfaspect  500 mg 500mg
Alfaspect 750 mg,750mg,Innogen Pharma For Medical Products,Film Coated Tablets,Alfaspect 750 mg 750mg
TAZOX,100mg,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Tablets,TAZOX 100mg
ZINCADOXIL,20mg/5ml,Egyptian Pharmaceutical Center EIPC,Powder for oral solution,ZINCADOXIL 20mg/5ml
LAXODORPAN,67gm/100ml,Panax Pharma,Syrup,LAXODORPAN 67gm/100ml
Trazonagen,1gm/100g,Marcyrl pharmaceutical industries - MPI,Topical Cream,Trazonagen 1gm/100g
DIBIOTIMYCIN,0comb,Egyptian Company for advanced pharmaceuticals (ECAP),topical aerosol powder spray,DIBIOTIMYCIN 0comb
ACETO FLU COLD AND FLU,0comb,Chemedica,Syrup,ACETO FLU COLD AND FLU 0comb
DIBIOTIMYCIN EXTRA,0comb,Egyptian Company for advanced pharmaceuticals (ECAP),topical aerosol powder spray,DIBIOTIMYCIN EXTRA 0comb
Levofloxacin-pharmacell,500mg/100ml,Pharmacell,Solution For I.V Infusion,Levofloxacin-pharmacell 500mg/100ml
AZECLEAR,20gm/100g,SAJA Pharmaceuticals Egypt - SAJA,Topical Cream,AZECLEAR 20gm/100g
PSYCHODAL 1 mg disintegrated tablet,1mg,El Delta for Pharmaceutical Industries - Delta Pharma,Disintegrating Tablet,PSYCHODAL 1 mg disintegrated tablet 1mg
Naviluca 200 mg,200mg,rotabiogen for Pharmaceutical Investments and Chemicals,Hard Gelatin Capsules,Naviluca 200 mg 200mg
SARTALESS PLUS,0comb,SIGMA PHARMACEUTICAL INDUSTRIES,Film Coated Tablets,SARTALESS PLUS 0comb
ORDESCA,5mg,"The Tenth of Ramadan for Pharmaceutical Industries & Diagnostic Reagents ""RAMEDA""",Film Coated Tablets,ORDESCA 5mg
LOXXOVIGIN,500mg,Loxxess Egypt,Film Coated Tablets,LOXXOVIGIN 500mg
REMIRTAZ,30mg,Inco Pharma Egypt,Film Coated Tablets,REMIRTAZ 30mg
COMPICHLOR,0comb,ORCHIDIA PHARMACEUTICAL INDUSTRIES-EGYPT,Ophthalmic Solution,COMPICHLOR 0comb
Neuragabalin 150 mg,150mg,Delta grand pharma for pharmaceutical industries - DGP,Hard Gelatin Capsules,Neuragabalin 150 mg 150mg
STIMLORIC,2.5mg/5ml,meivo international for manufacture,Syrup,STIMLORIC 2.5mg/5ml
RIVAXEL 10 mg/5ml,10mg/5ml,Growth pharma,Oral Solution,RIVAXEL 10 mg/5ml 10mg/5ml
MEDEXAFLAM 10mg/ml,10mg/ml,Global Pharmaceutical Industries,Solution for I.M Injection,MEDEXAFLAM 10mg/ml 10mg/ml
SERPASS,50mg,Global NAPI Pharmaceuticals - GNP,Film Coated Tablets,SERPASS 50mg
ASCOSALIN,100mg,PHARMA DE FRANCE-EGYPT,Enteric Coated Tablet,ASCOSALIN 100mg
Acavitamin A 25000 I.U Capsule,25000I.U.,Inco Pharma Egypt,Soft Gelatin Capsule,Acavitamin A 25000 I.U Capsule 25000I.U.
MENTORHEUM,0comb,Egyptian American Pharmaceutical Industries-egypt,Topical Cream,MENTORHEUM 0comb
CARDOVALDON 80mg,80mg,copad egypt for trade and pharmaceutical industries (copad pharma),Hard Gelatin Capsules,CARDOVALDON 80mg 80mg
GEO NICOTAL,750mg,Geopharma,SUSTAINED RELEASE TABLET,GEO NICOTAL 750mg
GENETTERA 25 mg,25mg,Genesis Pharmaceuticals,Hard Gelatin Capsules,GENETTERA 25 mg 25mg
Mesporin,500mg,SIGMA TEC PHARMACEUTICAL INDUSTRIES-EGYPT,Powder for Solution for I.M injection,Mesporin 500mg
Mesporin 1000 mg,1000mg,SIGMA TEC PHARMACEUTICAL INDUSTRIES-EGYPT,Powder for Solution for I.V injection,Mesporin 1000 mg 1000mg
COMBIVASC,0comb,The National Company NAPCO PHARMA  For Pharmaceuticals  Industries,Hard Gelatin Capsules,COMBIVASC 0comb
MALSA,11.5gm/100g,D.B.K FOR PHARMACEUTICAL INDUSTRIES,Topical Cream,MALSA 11.5gm/100g
Rectivard®,20mg,Marcyrl pharmaceutical industries - MPI,Film Coated Tablets,Rectivard® 20mg
SKINDAFOAM,0.015gm/30ml,Inspire  Pharmaceutical Company IPC Pharma,Topical Foam,SKINDAFOAM 0.015gm/30ml
Fenflam,400mg,Tabuk Health care,Film Coated Tablets,Fenflam 400mg
Elibutacand,86.73mg,Elite Pharma for Pharmaceutical Trading,Vaginal Ovules,Elibutacand 86.73mg
NUCIPROZA,500mg,Spimaco Misr for pharmaceutical industries,Film Coated Tablets,NUCIPROZA 500mg
NITROGED,20mg,jedco international pharmaceuticals,Tablets,NITROGED 20mg
Motijust Plus,0comb,International drug agency for pharmaceutical industry (IDI),Caplet,Motijust Plus 0comb
DONAZIL,5mg,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Film Coated Tablets,DONAZIL 5mg
TOBRABIOTIC PLUS,0comb,SIGMA TEC PHARMACEUTICAL INDUSTRIES-EGYPT,Ophthalmic Suspension,TOBRABIOTIC PLUS 0comb
Avivapril 5/12.5mg,0comb,Marcyrl pharmaceutical industries - MPI,Tablets,Avivapril 5/12.5mg 0comb
Embanodex,5mg,champions pharma 1029,orally disintegrating Tablets,Embanodex 5mg
JAKARANDA,0.5mg,copad egypt for trade and pharmaceutical industries (copad pharma),Tablets,JAKARANDA 0.5mg
Pharmabetic plus 50/1000 mg,0comb,Adwia,Film Coated Tablets,Pharmabetic plus 50/1000 mg 0comb
PHARMABETIC,50mg,Adwia,Film Coated Tablets,PHARMABETIC 50mg
Aldospira 25 mg,25mg,SAJA Pharmaceuticals Egypt - SAJA,Film Coated Tablets,Aldospira 25 mg 25mg
ALDOSPIRA 50 mg,50mg,SAJA Pharmaceuticals Egypt - SAJA,Film Coated Tablets,ALDOSPIRA 50 mg 50mg
ANTAGERONE,25mg,El-Nasr for Pharmaceutical Chemicals,Tablets,ANTAGERONE 25mg
ANTAGERONE,50mg,El-Nasr for Pharmaceutical Chemicals,Tablets,ANTAGERONE 50mg
CEFPORESP,200mg,The National Company NAPCO PHARMA  For Pharmaceuticals  Industries,Film Coated Tablets,CEFPORESP 200mg
ONDOGRAND,24mg,Delta grand pharma for pharmaceutical industries - DGP,Tablets,ONDOGRAND 24mg
TARZOS,4mg,The National Company NAPCO PHARMA  For Pharmaceuticals  Industries,MODIFIED RELEASE TABLETS,TARZOS 4mg
CILOGRAND,100mg,Delta grand pharma for pharmaceutical industries - DGP,SCORED TABLET,CILOGRAND 100mg
EGYPRESS,0.1mg,Wady trade pharmaceuticals for pharmaceutical production and trades,Tablets,EGYPRESS 0.1mg
CARDOVAR,20mg,SIGMA PHARMACEUTICAL INDUSTRIES,Film Coated Tablets,CARDOVAR 20mg
EGYPRESS 0.2mg,0.2mg,Wady trade pharmaceuticals for pharmaceutical production and trades,Tablets,EGYPRESS 0.2mg 0.2mg
QUINOX,3mg/ml,SIGMA TEC PHARMACEUTICAL INDUSTRIES-EGYPT,Ophthalmic Solution,QUINOX 3mg/ml
CARDOVALDON 160 mg,160mg,copad egypt for trade and pharmaceutical industries (copad pharma),Hard Gelatin Capsules,CARDOVALDON 160 mg 160mg
DEKADEL CHRONO,0comb,El Delta for Pharmaceutical Industries - Delta Pharma,Enteric Coated Tablet,DEKADEL CHRONO 0comb
BONPROVE,3mg/3ml,Eva pharma for Pharmaceuticals and Medical Appliances - Eva Pharma,Solution in prefilled pen,BONPROVE 3mg/3ml
Tensopleron 50 mg,50mg,Global Pharmaceutical Industries,Film Coated Tablets,Tensopleron 50 mg 50mg
Tensopleron 25 mg,25mg,Global Pharmaceutical Industries,Film Coated Tablets,Tensopleron 25 mg 25mg
Lasting tears,0.3gm/100ml,pharaonia pharmaceuticals (pharo pharma),Ophthalmic Solution,Lasting tears 0.3gm/100ml
Mannitol infusion 10%  BP 2022,0% W/V,"Al Mottahedoon for Pharmaceutical Industry, medical devices and cosmetics - U pharma",Solution For I.V Infusion,Mannitol infusion 10%  BP 2022 0% W/V
Mannitol Infusion 20 % (BP 2020 ),20gm/100ml,Otsuka Al obour pharmaceutical Egypt,Solution For I.V Infusion,Mannitol Infusion 20 % (BP 2020 ) 20gm/100ml
Sodium Chloride 0.9 % W/V (B.P .2018),0.9gm/100ml,Otsuka Al obour pharmaceutical Egypt,Solution For I.V Infusion,Sodium Chloride 0.9 % W/V (B.P .2018) 0.9gm/100ml
QUINOL FORTE CREAM USP 34,4%,vitapharm for pharmaceutical products and cosmetics,Topical Cream,QUINOL FORTE CREAM USP 34 4%
Peptifix Plus,0comb,SIGMA PHARMACEUTICAL INDUSTRIES,Chewable Tablets,Peptifix Plus 0comb
URI-FORTE,500mg,Trend Pharm for Pharmaceuticals,Tablets,URI-FORTE 500mg
AFTONWART 35mg f.c. tab.,35mg,copad egypt for trade and pharmaceutical industries (copad pharma),Film Coated Tablets,AFTONWART 35mg f.c. tab. 35mg
WELLOCRYPTASE,100mg/5ml,Health well egypt,Powder for Oral Suspension,WELLOCRYPTASE 100mg/5ml
APILIPEX,30mg,Apex pharma,Tablets,APILIPEX 30mg
APILIPEX,20mg,Apex pharma,Tablets,APILIPEX 20mg
APILIPEX,10mg,Apex pharma,Tablets,APILIPEX 10mg
APILIPEX,5mg,Apex pharma,Tablets,APILIPEX 5mg
Latanox,0.05mg/ml,SIGMA TEC PHARMACEUTICAL INDUSTRIES-EGYPT,Ophthalmic Solution,Latanox 0.05mg/ml
FLOXEPCI,400mg,Globe International Pharmaceuticals,Film Coated Tablets,FLOXEPCI 400mg
PAROXETINE,20mg,Hikma Pharmaceuticals industries,Tablets,PAROXETINE 20mg
REFORMEX,10mg,TARGET Medical,Tablets,REFORMEX 10mg
Mesporin 1000 mg IM,1000mg,SIGMA TEC PHARMACEUTICAL INDUSTRIES-EGYPT,Powder for Solution for I.M injection,Mesporin 1000 mg IM 1000mg
